"A6_bulk_NoDrug" "C10_bulk_NoDrug"
"OLA1P2" 0.761325690333973 0.665990710761566
"UBE2Q2" 12.7141390285773 13.7638080224057
"HNRNPA1P19" 0 0
"RP11-61J19.2" 0 0
"PKD1P1" 0 0
"RP11-649A18.5" 0.456795414200384 0.369994839311981
"LL0XNC01-250H12.3" 0 0
"RP11-169I9.2" 0 0
"C14orf166" 42.6342386587025 43.141398263777
"RP11-567M16.3" 0.152265138066795 0
"EIF2B5-AS1" 0 0
"PROS1" 32.2802092701605 15.8357791225528
"SNRPD1" 49.0293744575079 49.5053094999431
"CPS1" 61.515115778985 36.9254849633357
"RPS27P22" 0 0
"AC008132.13" 0 0
"OFD1P7Y" 0 0
"OR52P2P" 0 0
"RP11-315O6.2" 0 0
"IGHD4OR15-4A" 0 0
"PRKCB" 22.8397707100192 4.21794116815659
"RP11-444E17.6" 0.989723397434165 0.147997935724793
"RP4-575N6.4" 0.0761325690333973 0.221996903587189
"AC006116.20" 0.304530276133589 0.295995871449585
"RP11-451H23.1" 0 0.147997935724793
"IGBP1P1" 0.989723397434165 0.739989678623963
"RP11-552E4.4" 0 0
"RP11-463C8.4" 0 0
"RP11-463J7.1" 0 0
"SEC24C" 189.646229462193 186.995391788275
"ACP1" 69.7374332345919 71.9269967622492
"NEDD9" 14.9981160995793 35.0755107667758
"TRIM56" 71.1078194771931 92.9427036351697
"RP11-147G16.1" 0 0
"NUDT19" 19.4899376725497 22.1256913908565
"RNFT1P3" 0 0.147997935724793
"SMARCA5-AS1" 0 0.0739989678623963
"AC092839.3" 0 0
"BANF1P2" 0.761325690333973 0.739989678623963
"AC092684.1" 0 0
"RP11-989E6.10" 0 0
"CTD-2269E23.2" 0 0
"RP1-315G1.1" 0.228397707100192 0.0739989678623963
"C1QC" 0 0
"OR13C8" 0 0
"ENOX1" 7.76552204140653 5.54992258967972
"CTD-2026K11.1" 0 0
"TET2-AS1" 0 0
"RP11-340E6.1" 0.0761325690333973 0.0739989678623963
"USP9YP9" 0 0
"RP11-159K7.2" 0 0
"RP11-360P21.2" 0 0
"AC093818.1" 1.75104908776814 1.40598038938553
"ELP2" 55.7290405324468 50.1713002107047
"THADA" 28.2451831113904 28.7855984984721
"ZNF468" 0 0.0739989678623963
"CTD-2071N1.1" 0 0
"RTCB" 154.929777982964 175.229555898154
"RPL21P6" 0 0
"TSPY26P" 0.304530276133589 0.369994839311981
"AC103881.1" 0 0
"PTH2" 0 0
"AC007277.3" 0 0
"CPA1" 0 0
"IQUB" 0.0761325690333973 0.369994839311981
"NEBL" 0 0.0739989678623963
"OR7G2" 0 0
"CTA-246H3.12" 0 0
"RP11-100N3.2" 0.456795414200384 0.517992775036774
"BPIFB1" 0 0
"NRCAM" 7.61325690333973 18.869736804911
"RP1-32B1.4" 0 0
"LIMK2" 72.630470857861 108.630484821998
"ZNF616" 5.93834038460499 1.62797729297272
"RP11-14N7.2" 1.14198853550096 2.36796697159668
"LZTR1" 130.41509075421 135.27011325246
"CTAGE1" 0 0.221996903587189
"ELOVL4" 0 0.0739989678623963
"LYPLAL1-AS1" 0.152265138066795 0.221996903587189
"MTMR12" 72.4020731507608 56.017218671834
"ATP5EP1" 0 0
"ADAMTS7" 3.65436331360307 6.65990710761566
"LCN10" 0.0761325690333973 0.0739989678623963
"RP11-276H19.2" 0 0
"RP11-93I21.2" 0 0
"ZNRF2P3" 0 0
"ARSB" 41.3399849851347 24.3456604267284
"RP11-40H20.4" 0 0
"VCX3B" 0 0
"LLPH-AS1" 0 0
"VNN1" 0 0
"SIGLEC27P" 0.0761325690333973 0
"BSNDP4" 0 0
"KRT18P25" 0 0
"CCNG1P1" 0.0761325690333973 0.0739989678623963
"ENPP7P1" 0 0
"AC078883.3" 0 0
"RP1-151B14.6" 0.0761325690333973 0
"RP11-354K4.2" 0 0
"MAB21L1" 2.28397707100192 2.0719711001471
"T" 0 0
"RAPGEF6" 10.354029388542 7.843890593414
"CXCR2" 0 0
"HTR2A" 0 0
"BAD" 19.1092748273827 19.7577244192598
"CCL21" 0.0761325690333973 0
"AP000345.4" 0 0
"AC068134.8" 0 0
"RP11-369K17.1" 0 0
"IL36G" 0 0
"RP1-184J9.2" 0.0761325690333973 0
"RP5-940F7.2" 0.152265138066795 0
"AC016716.1" 0.532927983233781 0.59199174289917
"AP001626.2" 0 0.0739989678623963
"ANKRD53" 0.380662845166987 0.443993807174378
"MLST8" 109.783164546159 127.796217498358
"CTD-2522B17.8" 0 0
"DHX15" 191.321145980927 278.23611916261
"RP11-114G22.1" 0.304530276133589 0
"AC139099.6" 0 0
"LINC00488" 1.29425367356775 0
"ZNF655" 75.2951107740299 91.5367232457842
"RGPD8" 1.14198853550096 0.443993807174378
"RP11-383M4.2" 0 0
"RAMP2-AS1" 0.228397707100192 0.147997935724793
"RHBDF2" 84.4310190580376 98.8626210641614
"RP11-143N13.2" 0 0
"RP5-1065J22.2" 0 0
"RP11-781A6.1" 0 0.0739989678623963
"AC004540.4" 0.0761325690333973 0.0739989678623963
"SHANK2-AS2" 0 0
"MCHR2-AS1" 0 0
"SHANK2-AS1" 0 0.147997935724793
"GAPDHP59" 0.152265138066795 0
"KRT28" 0 0
"RPL23AP69" 0 0
"CTD-2054N24.1" 0 0
"RP11-670N15.1" 0 0
"ESCO1" 29.1587739397912 32.0415530844176
"MAMDC4" 14.3129229782787 14.947791508204
"NXNP1" 0 0
"ITIH1" 0 0
"RNF152P1" 0.152265138066795 0
"RP11-434H6.2" 0 0
"RP11-59K5.1" 9.89723397434165 10.2858565328731
"ISLR" 0 0
"HTR2A-AS1" 0 0
"CYCSP48" 0 0
"GPNMB" 939.323636734056 628.473234055331
"C1orf143" 0 0
"RP11-7I15.4" 0.0761325690333973 0
"CTB-43E15.2" 0 0
"RP11-138I1.4" 0 0
"TCEB1P21" 0.152265138066795 0
"AC010969.1" 0 0
"SBF2" 41.1115872780345 43.8073889745386
"RP1-67K17.4" 0 0
"RP11-120J1.1" 0 0
"RP1-67K17.3" 0 0
"IGHV3-30-2" 0 0
"CTD-2631K10.1" 0 0.0739989678623963
"FBXO46" 36.5436331360307 32.7075437951791
"MYOM3" 0.0761325690333973 0
"CDKL1" 1.90331422583493 2.21996903587189
"UBAP1" 24.0578918145535 35.0015117989134
"MATN2" 4.03502615877006 1.9979721322847
"SUMO2" 42.9387689348361 56.5352114468707
"RP5-875O13.1" 0.0761325690333973 0
"L29074.3" 0.0761325690333973 0.0739989678623963
"RP5-858B6.1" 0.152265138066795 0
"RP11-439I14.2" 0 0
"LA16c-366D1.3" 0 0
"RP11-22L13.1" 0 0
"SNX15" 0.989723397434165 0.739989678623963
"RP1-78O14.1" 0.152265138066795 0
"ST13P3" 0.0761325690333973 0.0739989678623963
"C9orf139" 0 0.147997935724793
"THRAP3P1" 3.27370046843608 3.62594942525742
"RP11-6L6.2" 0 0
"RP11-293P20.2" 0 0
"APLN" 0 0.221996903587189
"CTD-2213F21.2" 0.152265138066795 0.147997935724793
"CLEC6A" 0 0
"AC096921.2" 0.0761325690333973 0
"AC006273.4" 0.0761325690333973 0
"AC023115.4" 0 0
"PHPT1" 79.8630649160338 112.478431150842
"GLTP" 26.1134711784553 23.901666619554
"CASC18" 0 0
"FAM181A" 0 0
"CSAG1" 0 0
"AC009487.5" 0 0
"AC062022.1" 0 0
"CTD-2228K2.7" 142.139506385353 140.894034810002
